logs/multiviewx/backboneresnet34_deform_trans_w_dec_lr0.0005_baseR0.1_out0_drop0.0_dropcam0.0_worldRK4_10_2024-07-17_11-41-15
Settings:
{'reID': False, 'semi_supervised': 0, 'id_ratio': 0, 'cls_thres': 0.6, 'alpha': 1.0, 'use_mse': False, 'arch': 'resnet34', 'dataset': 'multiviewx', 'num_workers': 4, 'batch_size': 1, 'dropout': 0.0, 'dropcam': 0.0, 'epochs': 100, 'lr': 0.0005, 'base_lr_ratio': 0.1, 'weight_decay': 0.0001, 'resume': None, 'visualize': False, 'seed': 2021, 'deterministic': False, 'augmentation': True, 'world_feat': 'deform_trans_w_dec', 'bottleneck_dim': 128, 'outfeat_dim': 0, 'world_reduce': 4, 'world_kernel_size': 10, 'img_reduce': 12, 'img_kernel_size': 10, 'data': '/root/autodl-tmp/MultiviewX', 'two_stage': False, 'save': 5, 'num_q': 300, 'train_ratio': 0.9, 'device': 0}
Training...
[0/360] - ori_loss_labels: 1.2665, ori_loss_center: 0.0203, weighted_loss_labels: 2.5330, weighted_loss_center: 1.0139, total_loss: 3.5469
[10/360] - ori_loss_labels: 0.3821, ori_loss_center: 0.0157, weighted_loss_labels: 0.7643, weighted_loss_center: 0.7836, total_loss: 1.5479
[20/360] - ori_loss_labels: 0.3277, ori_loss_center: 0.0171, weighted_loss_labels: 0.6554, weighted_loss_center: 0.8547, total_loss: 1.5102
[30/360] - ori_loss_labels: 0.2910, ori_loss_center: 0.0197, weighted_loss_labels: 0.5820, weighted_loss_center: 0.9857, total_loss: 1.5677
[40/360] - ori_loss_labels: 0.3002, ori_loss_center: 0.0182, weighted_loss_labels: 0.6004, weighted_loss_center: 0.9101, total_loss: 1.5106
[50/360] - ori_loss_labels: 0.2902, ori_loss_center: 0.0198, weighted_loss_labels: 0.5804, weighted_loss_center: 0.9889, total_loss: 1.5693
[60/360] - ori_loss_labels: 0.2900, ori_loss_center: 0.0177, weighted_loss_labels: 0.5800, weighted_loss_center: 0.8857, total_loss: 1.4657
[70/360] - ori_loss_labels: 0.2854, ori_loss_center: 0.0178, weighted_loss_labels: 0.5709, weighted_loss_center: 0.8913, total_loss: 1.4622
[80/360] - ori_loss_labels: 0.2875, ori_loss_center: 0.0160, weighted_loss_labels: 0.5751, weighted_loss_center: 0.7998, total_loss: 1.3749
[90/360] - ori_loss_labels: 0.2666, ori_loss_center: 0.0191, weighted_loss_labels: 0.5332, weighted_loss_center: 0.9558, total_loss: 1.4891
Train Epoch: 1, Batch:100, loss: 0.014319, Time: 39.2
[100/360] - ori_loss_labels: 0.2672, ori_loss_center: 0.0158, weighted_loss_labels: 0.5343, weighted_loss_center: 0.7921, total_loss: 1.3264
[110/360] - ori_loss_labels: 0.2573, ori_loss_center: 0.0192, weighted_loss_labels: 0.5145, weighted_loss_center: 0.9619, total_loss: 1.4764
[120/360] - ori_loss_labels: 0.2640, ori_loss_center: 0.0142, weighted_loss_labels: 0.5279, weighted_loss_center: 0.7083, total_loss: 1.2362
[130/360] - ori_loss_labels: 0.2413, ori_loss_center: 0.0167, weighted_loss_labels: 0.4827, weighted_loss_center: 0.8327, total_loss: 1.3153
[140/360] - ori_loss_labels: 0.2291, ori_loss_center: 0.0159, weighted_loss_labels: 0.4582, weighted_loss_center: 0.7953, total_loss: 1.2535
[150/360] - ori_loss_labels: 0.2377, ori_loss_center: 0.0172, weighted_loss_labels: 0.4754, weighted_loss_center: 0.8595, total_loss: 1.3350
[160/360] - ori_loss_labels: 0.2020, ori_loss_center: 0.0189, weighted_loss_labels: 0.4039, weighted_loss_center: 0.9430, total_loss: 1.3469
[170/360] - ori_loss_labels: 0.1919, ori_loss_center: 0.0198, weighted_loss_labels: 0.3839, weighted_loss_center: 0.9904, total_loss: 1.3743
[180/360] - ori_loss_labels: 0.1828, ori_loss_center: 0.0159, weighted_loss_labels: 0.3656, weighted_loss_center: 0.7927, total_loss: 1.1582
[190/360] - ori_loss_labels: 0.2125, ori_loss_center: 0.0174, weighted_loss_labels: 0.4250, weighted_loss_center: 0.8721, total_loss: 1.2970
Train Epoch: 1, Batch:200, loss: 0.006436, Time: 73.2
[200/360] - ori_loss_labels: 0.1764, ori_loss_center: 0.0172, weighted_loss_labels: 0.3527, weighted_loss_center: 0.8603, total_loss: 1.2131
[210/360] - ori_loss_labels: 0.1950, ori_loss_center: 0.0159, weighted_loss_labels: 0.3899, weighted_loss_center: 0.7956, total_loss: 1.1855
[220/360] - ori_loss_labels: 0.1680, ori_loss_center: 0.0161, weighted_loss_labels: 0.3360, weighted_loss_center: 0.8026, total_loss: 1.1386
[230/360] - ori_loss_labels: 0.1876, ori_loss_center: 0.0177, weighted_loss_labels: 0.3753, weighted_loss_center: 0.8833, total_loss: 1.2585
[240/360] - ori_loss_labels: 0.1625, ori_loss_center: 0.0168, weighted_loss_labels: 0.3249, weighted_loss_center: 0.8412, total_loss: 1.1662
[250/360] - ori_loss_labels: 0.1681, ori_loss_center: 0.0153, weighted_loss_labels: 0.3362, weighted_loss_center: 0.7668, total_loss: 1.1030
