[0.432     0.6109375]
[0.175  0.3375]
[0.56    0.28125]
[0.789     0.0171875]
[0.372   0.66875]
[0.212     0.8640625]
[0.622     0.3890625]
[0.504    0.140625]
[0.384    0.571875]
[0.187     0.2296875]
[0.716     0.3765625]
[0.269     0.9484375]
[0.444    0.821875]
[0.653    0.309375]
[0.648    0.278125]
[0.566     0.7109375]
[0.195     0.5953125]
[0.381     0.7171875]
[0.74    0.53125]
[0.399   0.39375]
[0.704     0.7640625]
[0.129     0.9609375]
[0.635     0.4640625]
[0.403     0.7921875]
[0.803     0.7828125]
[0.7       0.8078125]
[0.696    0.215625]
[0.773     0.8296875]
[0.405     0.3703125]
[0.816    0.165625]
[0.866     0.2296875]
[0.081 0.925]
[0.443     0.6734375]
[0.131     0.4078125]
[0.232     0.6234375]
